地区名,センター,可燃ごみ,不燃ごみ,かん、びん、ペット、有害、スプレーかん,プラ容器
相木町,越前市環境政策課,月 木,月2 月4,月1 月3,水
あおば町,越前市環境政策課,火 金,木2 木4,金2 金4,木
赤坂町,越前市環境政策課,火 金,火2 火4,火1 火3,水
赤谷町,越前市環境政策課,月 木,月2 月4,月1 月3,水
味真野町,越前市環境政策課,月 木,水2 水4,水1 水3,水
味真野団地,越前市環境政策課,月 木,水2 水4,水1 水3,水
吾妻町,越前市環境政策課,火 金,木2 木4,木2 木4,木
荒谷町,越前市環境政策課,火 金,水2 水4,月1 月3,水
粟田部町旭,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町鞍谷,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町栄,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町富永,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町西山,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町宝栄,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟田部町蓬莱,越前市環境政策課,月 木,金2 金4,金1 金3,水
粟野町,越前市環境政策課,火 金,月2 月4,月2 月4,月
安養寺町,越前市環境政策課,火 金,月2 月4,月2 月4,月
家久町,越前市環境政策課,火 金,水2 水4,水2 水4,水
池泉町,越前市環境政策課,月 木,水2 水4,水1 水3,水
池ノ上町,越前市環境政策課,月 木,月2 月4,木1 木3,月
市野々町,越前市環境政策課,月 木,月2 月4,月1 月3,水
稲寄町,越前市環境政策課,火 金,木2 木4,水1 水3,木
今宿町,越前市環境政策課,月 木,水2 水4,火2 火4,水
入谷町,越前市環境政策課,月 木,木2 木4,火1 火3,木
岩内町,越前市環境政策課,火 金,水2 水4,月1 月3,水
岩本町,越前市環境政策課,火 金,木2 木4,木1 木3,水
馬塚住宅,越前市環境政策課,月 木,月2 月4,木1 木3,月
瓜生町,越前市環境政策課,火 金,木2 木4,水1 水3,木
瓜生野町,越前市環境政策課,,木2 木4,金1 金3,木
不老町,越前市環境政策課,火 金,木2 木4,木1 木3,水
大塩町,越前市環境政策課,月 木,木2 木4,金1 金3,木
大滝町,越前市環境政策課,火 金,木2 木4,木1 木3,水
大谷町,越前市環境政策課,月 木,月2 月4,月1 月3,水
大手町,越前市環境政策課,火 金,水2 水4,月1 月3,水
大平町,越前市環境政策課,火 金,木2 木4,木1 木3,水
大虫町,越前市環境政策課,月 木,水2 水4,木2 木4,水
大虫本町,越前市環境政策課,月 木,水2 水4,木2 木4,水
大虫本町勝蓮花,越前市環境政策課,月 木,水2 水4,木2 木4,水
大屋町,越前市環境政策課,火 金,月2 月4,月1 月3,月
岡本町,越前市環境政策課,月 木,月2 月4,金1 金3,月
奥宮谷町,越前市環境政策課,月 木,水2 水4,水1 水3,水
